,word,type,answer,,,
,demand_,noun,for,,,
,need_,noun,for,,,
,reason_,noun,for,,,
,advantage_,noun,of,,,
,disadvantage_,noun,of,,,
,There is/are advantage_,phrase,in or to,,,
,cause_,noun,of,,,
,picture_,noun,of,,,
,photo_,noun,of,,,
,photograph_,noun,of,,,
,map_,noun,of,,,
,plan_,noun,of,,,
,drawing_,noun,of,,,
,increase_,noun,in,,,
,decrease_,noun,in,,,
,rise_,noun,in,,,
,fall_,noun,in,,,
,damage_,noun,to,,,
,invitation_(party),noun,to,,,
,solution_(problem),noun,to,,,
,key_(door),noun,to,,,
,answer_(question),noun,to,,,
,reply_(letter),noun,to,,,
,reaction_,noun,to,,,
,attitude_,noun,to,,,
,relationship_,noun,with or between,,,
,connection_,noun,with or between,,,
,contact_,noun,with or between,,,
,difference_,noun,between,,,
,nice_(somebody),adj,of or to,,,
,kind_(somebody),adj,of or to,,,
,good_(somebody),adj,of or to,,,
,generous_(somebody),adj,of or to,,,
,polite_(somebody),adj,of or to,,,
,stupid_(somebody),adj,of,,,
,silly_(somebody),adj,of,,,
,rude_(somebody),adj,to,,,
,friendly_(somebody),adj,to,,,
,cruel_(somebody),adj,to,,,
,angry_(something),adj,about,,,
,annoyed_(something),adj,about,,,
,furious_(something),adj,about,,,
,upset_(something),adj,about,,,
,annoyed_(somebody)_(doing something),adj,with,,,
,furious_(somebody)_(doing something),adj,with,,,
,upset_(somebody)_(doing something),adj,with,,,
,angry_(somebody)_(doing something),adj,with,,,
,excited_(situation),adj,about,,,
,worried_(situation),adj,about,,,
,nervous_(situation),adj,about,,,
,happy_(situation),adj,about,,,
,pleased_(something you receive or result),adj,with,,,
,satisfied_(something you receive or result),adj,with,,,
,happy_(something you receive or result),adj,with,,,
,delighted_(something you receive or result),adj,with,,,
,disappointed_(something you receive or result),adj,with,,,
,surprised_(something),adj,at or by,,,
,shocked_(something),adj,at or by,,,
,amazed_(something),adj,at or by,,,
,astonished_(something),adj,at or by,,,
,upset_(something),adj,at or by,,,
,impressed_(somebody or something),adj,with or by,,,
,fed up_(something),adj,with,,,
,bored_(something),adj,with,,,
,tired_(something),adj,of,,,
,sick_(something),adj,of,,,
,sorry_(situation or something that happened),adj,about,,,
,sorry_(something you did),adj,for or about,,,
,feel sorry_(somebody who is in a bad situation),adj,for,,,
,be sorry_(somebody who is in a bad situation),adj,for,,,
,afraid_,adj,of,,,
,frightened_,adj,of,,,
,terrified_,adj,of,,,
,scared_,adj,of,,,
,fond_,adj,of,,,
,proud_,adj,of,,,
,ashamed_,adj,of,,,
,jealous_,adj,of,,,
,envious_,adj,of,,,
,suspicious_,adj,of,,,
,critical_,adj,of,,,
,tolerant_,adj,of,,,
,aware_,adj,of,,,
,conscious_,adj,of,,,
,capable_,adj,of,,,
,incapable_,adj,of,,,
,full_,adj,of,,,
,short_,adj,of,,,
,typical_,adj,of,,,
,certain_,adj,of or about,,,
,sure_,adj,of or about,,,
,good_,adj,at,,,
,bad_,adj,at,,,
,brilliant_,adj,at,,,
,better_,adj,at,,,
,hopeless_,adj,at,,,
,married_,adj,to,,,
,engaged_,adj,to,,,
,similar_,adj,to,,,
,different_,adj,from or to,,,
,interested_,adj,in,,,
,keen_,adj,on,,,
,dependent_,adj,on,,,
,crowded_,adj,with,,,
,famous_,adj,for,,,
,responsible_,adj,for,,,
,talk_(somebody),v,to,,,
,speak_(somebody),v,to,,,
,listen_,v,to,,,
,apologise_(somebody for…),v,to,,,
,explain(somebody)_(somebody),v,to,,,
,explain_(somebody what/how/why),v,to,,,
,describe_(somebody what/how/why),v,to,,,
,phone_(somebody),v,-,,,
,call_(somebody),v,-,,,
,email_(somebody),v,-,,,
,text_(somebody),v,-,,,
,answer_(somebody or something),v,-,,,
,ask_(somebody),v,-,,,
,thank_(somebody),v,-,,,
,look_,v,at,,,
,stare_,v,at,,,
,glance_,v,at,,,
,have a look_,v,at,,,
,take a look_,v,at,,,
,laugh_,v,at,,,
,aim(something)_,v,at,,,
,point(something)_,v,at,,,
,shoot(gun)_,v,at,,,
,fire(gun)_,v,at,,,
,shout_(somebody) when you are angry,v,at,,,
,shout_(somebody) when you want to the other hear you,v,to,,,
